,player,card,time,age,round,game_id,text
846,Purple,Scientific Method,2020-04-27 17:16:26,III,13,7474472,Purple takes Scientific Method in hand#Purple uses 1 civil action #
847,Purple,Coal,2020-04-27 17:16:24,III,13,7474472,Purple takes Coal in hand#Purple uses 1 civil action #
848,Orange,Cannon,2020-04-27 17:07:39,III,13,7474472,Orange takes Cannon in hand#Orange uses 1 civil action #
849,Orange,Journalism,2020-04-27 17:07:37,III,13,7474472,Orange takes Journalism in hand#Orange uses 2 civil action #
850,Grey,Opera,2020-04-27 16:58:49,III,12,7474472,Grey takes Opera in hand#Grey uses 1 civil action #
851,Green,Scientific Method,2020-04-27 16:48:14,II,12,7474472,Green takes Scientific Method in hand#Green uses 2 civil action #
852,Green,Patriotism,2020-04-27 16:48:04,II,12,7474472,Green takes Patriotism in hand#Green uses 1 civil action #
853,Green,Isaac Newton,2020-04-27 16:47:19,II,12,7474472,Green takes Isaac Newton in hand#Green uses 1 civil action #
854,Purple,Urban Growth,2020-04-27 16:25:08,II,12,7474472,Purple takes Urban Growth in hand#Purple uses 2 civil action #
855,Purple,Patriotism,2020-04-27 16:21:58,II,12,7474472,Purple takes Patriotism in hand#Purple uses 1 civil action #
856,Purple,Organized Religion,2020-04-27 16:21:52,II,12,7474472,Purple takes Organized Religion in hand#Purple uses 2 civil action #
857,Purple,Efficient Upgrade,2020-04-27 16:21:37,II,12,7474472,Purple takes Efficient Upgrade in hand#Purple uses 1 civil action #
858,Purple,Reserves,2020-04-27 16:21:29,II,12,7474472,Purple takes Reserves in hand#Purple uses 1 civil action #
859,Orange,Efficient Upgrade,2020-04-27 15:53:01,II,12,7474472,Orange takes Efficient Upgrade in hand#Orange uses 1 civil action #
860,Orange,Napoleon Bonaparte,2020-04-27 15:52:21,II,12,7474472,Orange takes Napoleon Bonaparte in hand#Orange uses 2 civil action #
861,Orange,Napoleon Bonaparte,2020-04-27 15:48:43,II,12,7474472,Orange takes Napoleon Bonaparte in hand#Orange uses 2 civil action #
862,Orange,Efficient Upgrade,2020-04-27 15:47:45,II,12,7474472,Orange takes Efficient Upgrade in hand#Orange uses 1 civil action #
863,Grey,Johannes Sebastian Bach,2020-04-27 15:04:39,II,11,7474472,Grey takes Johannes Sebastian Bach in hand#Grey uses 3 civil action #
864,Green,Cannon,2020-04-27 14:58:35,II,11,7474472,Green takes Cannon in hand#Green uses 1 civil action #
865,Green,Breakthrough,2020-04-27 14:58:09,II,11,7474472,Green takes Breakthrough in hand#Green uses 1 civil action #
866,Green,Eiffel Tower,2020-04-27 14:57:48,II,11,7474472,Green takes Eiffel Tower in hand#Green uses 2 civil action #
867,Purple,Journalism,2020-04-27 14:50:57,II,11,7474472,Purple takes Journalism in hand#Purple uses 1 civil action #
868,Purple,Maximillien Robespierre,2020-04-27 14:50:48,II,11,7474472,Purple takes Maximillien Robespierre in hand#Purple uses 1 civil action #
869,Orange,Cavalrymen,2020-04-27 12:29:52,II,11,7474472,Orange takes Cavalrymen in hand#Orange uses 1 civil action #
870,Orange,Reserves,2020-04-27 12:29:39,II,11,7474472,Orange takes Reserves in hand#Orange uses 1 civil action #
871,Grey,Coal,2020-04-27 11:55:07,II,10,7474472,Grey takes Coal in hand#Grey uses 1 civil action #
872,Grey,Riflemen,2020-04-27 11:54:27,II,10,7474472,Grey takes Riflemen in hand#Grey uses 1 civil action #
873,Green,Engineering Genius,2020-04-27 11:43:21,II,10,7474472,Green takes Engineering Genius in hand#Green uses 2 civil action #
874,Green,Breakthrough,2020-04-27 11:43:03,II,10,7474472,Green takes Breakthrough in hand#Green uses 1 civil action #
875,Green,Selective Breeding,2020-04-27 11:42:55,II,10,7474472,Green takes Selective Breeding in hand#Green uses 2 civil action #
876,Green,Republic,2020-04-27 11:42:31,II,10,7474472,Green takes Republic in hand#Green uses 1 civil action #
877,Purple,Constitutional Monarchy,2020-04-27 11:41:01,II,10,7474472,Purple takes Constitutional Monarchy in hand#Purple uses 2 civil action #
878,Orange,Navigation,2020-04-27 11:18:31,II,10,7474472,Orange takes Navigation in hand#Orange uses 1 civil action #
879,Grey,Rich Land,2020-04-27 11:15:55,II,9,7474472,Grey takes Rich Land in hand#Grey uses 1 civil action #
880,Grey,Transcontinental Railroad,2020-04-27 11:14:36,II,9,7474472,Grey takes Transcontinental Railroad in hand#Grey uses 3 civil action #
881,Green,Strategy,2020-04-27 10:58:02,II,9,7474472,Green takes Strategy in hand#Green uses 2 civil action #
882,Green,Rich Land,2020-04-27 10:57:28,II,9,7474472,Green takes Rich Land in hand#Green uses 1 civil action #
883,Purple,Ocean Liner,2020-04-27 09:37:24,II,9,7474472,Purple takes Ocean Liner in hand#Purple uses 2 civil action #
884,Orange,Universitas Carolina,2020-04-26 22:34:50,II,9,7474472,Orange takes Universitas Carolina in hand#Orange uses 2 civil action #
885,Grey,Architecture,2020-04-26 19:17:53,II,8,7474472,Grey takes Architecture in hand#Grey uses 2 civil action #
886,Grey,Revolutionary Idea,2020-04-26 19:16:42,II,8,7474472,Grey takes Revolutionary Idea in hand#Grey uses 1 civil action #
887,Green,Rich Land,2020-04-26 10:06:14,II,8,7474472,Green takes Rich Land in hand#Green uses 1 civil action #
888,Green,Breakthrough,2020-04-26 10:03:34,II,8,7474472,Green takes Breakthrough in hand#Green uses 1 civil action #
889,Purple,Frugality,2020-04-26 02:50:47,II,8,7474472,Purple takes Frugality in hand#Purple uses 1 civil action #
890,Purple,Genghis Khan,2020-04-26 02:50:06,II,8,7474472,Purple takes Genghis Khan in hand#Purple uses 2 civil action #
891,Purple,Iron,2020-04-26 02:49:29,II,8,7474472,Purple takes Iron in hand#Purple uses 1 civil action #
892,Orange,Reserves,2020-04-26 00:41:42,II,8,7474472,Orange takes Reserves in hand#Orange uses 1 civil action #
893,Orange,Code of Laws,2020-04-26 00:41:38,II,8,7474472,Orange takes Code of Laws in hand#Orange uses 2 civil action #
894,Grey,Drama,2020-04-25 20:43:27,I,7,7474472,Grey takes Drama in hand#Grey uses 1 civil action #
895,Grey,Breakthrough,2020-04-25 20:43:18,I,7,7474472,Grey takes Breakthrough in hand#Grey uses 2 civil action #
896,Green,Alchemy,2020-04-25 14:27:14,I,7,7474472,Green takes Alchemy in hand#Green uses 1 civil action #
897,Green,Alchemy,2020-04-25 14:25:15,I,7,7474472,Green takes Alchemy in hand#Green uses 1 civil action #
898,Green,Knights,2020-04-25 14:24:27,I,7,7474472,Green takes Knights in hand#Green uses 1 civil action #
899,Purple,Patriotism,2020-04-25 14:17:37,I,7,7474472,Purple takes Patriotism in hand#Purple uses 1 civil action #
900,Purple,Urban Growth,2020-04-25 14:17:18,I,7,7474472,Purple takes Urban Growth in hand#Purple uses 1 civil action #
901,Orange,Joan of Arc,2020-04-25 12:03:27,I,7,7474472,Orange takes Joan of Arc in hand#Orange uses 2 civil action #
902,Orange,Theocracy,2020-04-25 12:03:22,I,7,7474472,Orange takes Theocracy in hand#Orange uses 1 civil action #
903,Grey,Cultural Heritage,2020-04-25 11:26:30,I,6,7474472,Grey takes Cultural Heritage in hand#Grey uses 1 civil action #
904,Grey,Cultural Heritage,2020-04-25 11:26:09,I,6,7474472,Grey takes Cultural Heritage in hand#Grey uses 1 civil action #
905,Grey,Alchemy,2020-04-25 11:26:01,I,6,7474472,Grey takes Alchemy in hand#Grey uses 2 civil action #
906,Grey,Urban Growth,2020-04-25 11:25:34,I,6,7474472,Grey takes Urban Growth in hand#Grey uses 2 civil action #
907,Green,Swordsmen,2020-04-24 19:02:19,I,6,7474472,Green takes Swordsmen in hand#Green uses 2 civil action #
908,Green,Theology,2020-04-24 19:02:09,I,6,7474472,Green takes Theology in hand#Green uses 1 civil action #
909,Purple,Printing Press,2020-04-24 18:53:01,I,6,7474472,Purple takes Printing Press in hand#Purple uses 2 civil action #
910,Purple,Irrigation,2020-04-24 18:52:03,I,6,7474472,Purple takes Irrigation in hand#Purple uses 1 civil action #
911,Orange,Urban Growth,2020-04-24 16:43:38,I,6,7474472,Orange takes Urban Growth in hand#Orange uses 1 civil action #
912,Orange,Monarchy,2020-04-24 16:42:28,I,6,7474472,Orange takes Monarchy in hand#Orange uses 1 civil action #
913,Green,Christopher Columbus,2020-04-24 16:22:29,I,5,7474472,Green takes Christopher Columbus in hand#Green uses 1 civil action #
914,Green,Printing Press,2020-04-24 16:22:26,I,5,7474472,Green takes Printing Press in hand#Green uses 1 civil action #
915,Purple,Knights,2020-04-24 15:23:46,I,5,7474472,Purple takes Knights in hand#Purple uses 1 civil action #
916,Orange,Irrigation,2020-04-24 14:57:07,I,5,7474472,Orange takes Irrigation in hand#Orange uses 1 civil action #
917,Orange,Swordsmen,2020-04-24 14:55:29,I,5,7474472,Orange takes Swordsmen in hand#Orange uses 1 civil action #
918,Grey,Iron,2020-04-24 14:40:07,I,4,7474472,Grey takes Iron in hand#Grey uses 2 civil action #
919,Grey,Irrigation,2020-04-24 14:39:19,I,4,7474472,Grey takes Irrigation in hand#Grey uses 1 civil action #
920,Grey,Swordsmen,2020-04-24 14:38:24,I,4,7474472,Grey takes Swordsmen in hand#Grey uses 1 civil action #
921,Grey,Irrigation,2020-04-24 14:38:22,I,4,7474472,Grey takes Irrigation in hand#Grey uses 1 civil action #
922,Grey,Iron,2020-04-24 14:37:10,I,4,7474472,Grey takes Iron in hand#Grey uses 2 civil action #
923,Green,Cartography,2020-04-24 13:24:13,I,4,7474472,Green takes Cartography in hand#Green uses 1 civil action #
924,Purple,Code of Laws,2020-04-23 18:54:16,I,4,7474472,Purple takes Code of Laws in hand#Purple uses 2 civil action #
925,Orange,Iron,2020-04-23 18:25:31,I,4,7474472,Orange takes Iron in hand#Orange uses 2 civil action #
926,Orange,Reserves,2020-04-23 18:25:28,I,4,7474472,Orange takes Reserves in hand#Orange uses 1 civil action #
927,Grey,Monarchy,2020-04-23 17:16:49,I,3,7474472,Grey takes Monarchy in hand#Grey uses 1 civil action Grey uses 1 military action #
928,Grey,Frederick Barbarossa,2020-04-23 17:16:16,I,3,7474472,Grey takes Frederick Barbarossa in hand#Grey uses 1 civil action #
929,Purple,Urban Growth,2020-04-23 13:28:56,I,3,7474472,Purple takes Urban Growth in hand#Purple uses 1 civil action #
930,Orange,Urban Growth,2020-04-23 11:57:24,I,3,7474472,Orange takes Urban Growth in hand#Orange uses 1 civil action #
931,Grey,Colossus,2020-04-23 11:45:33,I,2,7474472,Grey takes Colossus in hand#Grey uses 1 military action #
932,Grey,Urban Growth,2020-04-23 11:45:13,I,2,7474472,Grey takes Urban Growth in hand#Grey uses 1 military action #
933,Grey,Rich Land,2020-04-23 11:45:01,I,2,7474472,Grey takes Rich Land in hand#Grey uses 1 civil action #
934,Green,Engineering Genius,2020-04-23 11:26:06,I,2,7474472,Green takes Engineering Genius in hand#Green uses 2 civil action #
935,Purple,Cultural Heritage,2020-04-23 09:56:38,I,2,7474472,Purple takes Cultural Heritage in hand#Purple uses 1 civil action #
936,Purple,Rich Land,2020-04-23 09:56:07,I,2,7474472,Purple takes Rich Land in hand#Purple uses 1 civil action #
937,Orange,Pyramids,2020-04-23 09:46:55,I,2,7474472,Orange takes Pyramids in hand#Orange uses 2 civil action #
938,Grey,Frugality,2020-04-23 09:40:09,A,1,7474472,Grey takes Frugality in hand#Grey uses 2 civil action #
939,Grey,Hammurabi,2020-04-23 09:39:43,A,1,7474472,Grey takes Hammurabi in hand#Grey uses 2 civil action #
940,Green,Moses,2020-04-23 09:36:14,A,1,7474472,Green takes Moses in hand#Green uses 1 civil action #
941,Green,Hanging Gardens,2020-04-23 09:35:06,A,1,7474472,Green takes Hanging Gardens in hand#Green uses 2 civil action #
942,Purple,Library of Alexandria,2020-04-23 00:40:28,A,1,7474472,Purple takes Library of Alexandria in hand#Purple uses 1 civil action #
943,Purple,Homer,2020-04-23 00:40:23,A,1,7474472,Purple takes Homer in hand#Purple uses 1 civil action #
944,Orange,Aristotle,2020-04-23 00:22:32,A,1,7474472,Orange takes Aristotle in hand#Orange uses 1 civil action #
945,Orange,Library of Alexandria,2020-04-23 00:16:39,A,1,7474472,Orange takes Library of Alexandria in hand#Orange uses 1 civil action #
946,Green,Air Forces,2020-05-05 09:55:31,IV,18,7474996,Green takes Air Forces in hand#Green uses 1 civil action #
947,Green,Tanks,2020-05-05 09:55:21,IV,18,7474996,Green takes Tanks in hand#Green uses 1 civil action #
948,Purple,Engineering,2020-05-05 09:43:49,IV,18,7474996,Purple takes Engineering in hand#Purple uses 1 civil action #
949,Grey,Multimedia,2020-05-04 22:14:33,IV,17,7474996,Grey takes Multimedia in hand#Grey uses 1 civil action #
950,Grey,Hollywood,2020-05-04 22:13:20,IV,17,7474996,Grey takes Hollywood in hand#Grey uses 3 civil action #
951,Green,Patriotism,2020-05-04 22:08:46,IV,17,7474996,Green takes Patriotism in hand#Green uses 1 civil action #
952,Green,First Space Flight,2020-05-04 22:06:34,IV,17,7474996,Green takes First Space Flight in hand#Green uses 4 civil action #
953,Purple,Bill Gates,2020-05-04 21:54:21,III,17,7474996,Purple takes Bill Gates in hand#Purple uses 1 civil action #
954,Orange,Democracy,2020-05-04 21:31:41,III,17,7474996,Orange takes Democracy in hand#Orange uses 1 civil action #
955,Orange,Reserves,2020-05-04 21:31:09,III,17,7474996,Orange takes Reserves in hand#Orange uses 3 civil action #
956,Grey,Reserves,2020-05-04 21:11:46,III,16,7474996,Grey takes Reserves in hand#Grey uses 3 civil action #
957,Green,Oil,2020-05-04 20:39:31,III,16,7474996,Green takes Oil in hand#Green uses 1 civil action #
958,Green,Multimedia,2020-05-04 20:39:25,III,16,7474996,Green takes Multimedia in hand#Green uses 2 civil action #
959,Purple,Revolutionary Idea,2020-05-04 15:37:40,III,16,7474996,Purple takes Revolutionary Idea in hand#Purple uses 2 civil action #
960,Orange,Civil Service,2020-05-04 15:08:07,III,16,7474996,Orange takes Civil Service in hand#Orange uses 2 civil action #
961,Grey,Military Theory,2020-05-04 14:35:26,III,15,7474996,Grey takes Military Theory in hand#Grey uses 1 civil action #
962,Grey,Efficient Upgrade,2020-05-04 14:35:10,III,15,7474996,Grey takes Efficient Upgrade in hand#Grey uses 1 civil action #
963,Grey,Endowment for the Arts,2020-05-04 14:34:21,III,15,7474996,Grey takes Endowment for the Arts in hand#Grey uses 1 civil action #
964,Green,Engineering Genius,2020-05-04 14:22:47,III,15,7474996,Green takes Engineering Genius in hand#Green uses 1 civil action #
965,Green,Movies,2020-05-04 14:21:11,III,15,7474996,Green takes Movies in hand#Green uses 1 civil action #
966,Purple,Tanks,2020-05-04 11:35:52,III,15,7474996,Purple takes Tanks in hand#Purple uses 1 civil action #
967,Orange,Movies,2020-05-04 10:41:19,III,15,7474996,Orange takes Movies in hand#Orange uses 1 civil action #
968,Orange,Fast Food Chains,2020-05-04 10:41:10,III,15,7474996,Orange takes Fast Food Chains in hand#Orange uses 4 civil action #
969,Grey,Urban Growth,2020-05-04 10:35:04,III,14,7474996,Grey takes Urban Growth in hand#Grey uses 1 civil action #
970,Grey,Efficient Upgrade,2020-05-04 10:34:36,III,14,7474996,Grey takes Efficient Upgrade in hand#Grey uses 1 civil action #
971,Grey,Winston Churchill,2020-05-04 10:33:26,III,14,7474996,Grey takes Winston Churchill in hand#Grey uses 3 civil action #
972,Green,Modern Infantry,2020-05-04 09:23:14,III,14,7474996,Green takes Modern Infantry in hand#Green uses 1 civil action #
973,Green,Revolutionary Idea,2020-05-04 09:16:07,III,14,7474996,Green takes Revolutionary Idea in hand#Green uses 1 civil action #
974,Green,Reserves,2020-05-04 09:15:43,III,14,7474996,Green takes Reserves in hand#Green uses 1 civil action #
975,Green,Mechanized Agriculture,2020-05-04 09:15:34,III,14,7474996,Green takes Mechanized Agriculture in hand#Green uses 1 civil action #
976,Green,Albert Einstein,2020-05-04 09:14:01,III,14,7474996,Green takes Albert Einstein in hand#Green uses 2 civil action #
977,Purple,Fundamentalism,2020-05-03 23:18:40,III,14,7474996,Purple takes Fundamentalism in hand#Purple uses 1 civil action #
978,Purple,Air Forces,2020-05-03 23:18:23,III,14,7474996,Purple takes Air Forces in hand#Purple uses 1 civil action #
979,Orange,Military Build-Up,2020-05-03 22:55:47,III,14,7474996,Orange takes Military Build-Up in hand#Orange uses 1 civil action #
980,Orange,Oil,2020-05-03 22:55:26,III,14,7474996,Orange takes Oil in hand#Orange uses 1 civil action #
981,Orange,Mahatma Gandhi,2020-05-03 22:54:57,III,14,7474996,Orange takes Mahatma Gandhi in hand#Orange uses 1 civil action #
982,Grey,Urban Growth,2020-05-03 20:05:35,III,13,7474996,Grey takes Urban Growth in hand#Grey uses 3 civil action #
983,Grey,Satellites,2020-05-03 20:04:32,III,13,7474996,Grey takes Satellites in hand#Grey uses 1 civil action #
984,Green,Justice System,2020-05-03 15:30:11,III,13,7474996,Green takes Justice System in hand#Green uses 1 civil action #
985,Green,Military Theory,2020-05-03 15:30:05,III,13,7474996,Green takes Military Theory in hand#Green uses 2 civil action #
986,Purple,Journalism,2020-05-03 15:01:44,III,13,7474996,Purple takes Journalism in hand#Purple uses 1 civil action #
987,Purple,Riflemen,2020-05-03 15:01:37,III,13,7474996,Purple takes Riflemen in hand#Purple uses 1 civil action #
988,Orange,Team Sports,2020-05-03 10:53:43,III,13,7474996,Orange takes Team Sports in hand#Orange uses 2 civil action #
989,Orange,Coal,2020-05-03 10:53:27,III,13,7474996,Orange takes Coal in hand#Orange uses 1 civil action #
990,Orange,Cannon,2020-05-03 10:53:24,III,13,7474996,Orange takes Cannon in hand#Orange uses 1 civil action #
991,Grey,Selective Breeding,2020-05-03 01:16:29,III,12,7474996,Grey takes Selective Breeding in hand#Grey uses 2 civil action #
992,Green,Scientific Method,2020-05-02 22:25:58,II,12,7474996,Green takes Scientific Method in hand#Green uses 1 civil action #
993,Green,Efficient Upgrade,2020-05-02 22:25:52,II,12,7474996,Green takes Efficient Upgrade in hand#Green uses 2 civil action #
994,Green,Journalism,2020-05-02 22:25:08,II,12,7474996,Green takes Journalism in hand#Green uses 1 civil action #
995,Purple,Cannon,2020-05-02 21:38:37,II,12,7474996,Purple takes Cannon in hand#Purple uses 1 civil action #
996,Purple,Cannon,2020-05-02 21:38:04,II,12,7474996,Purple takes Cannon in hand#Purple uses 1 civil action #
997,Orange,Constitutional Monarchy,2020-05-02 18:49:38,II,12,7474996,Orange takes Constitutional Monarchy in hand#Orange uses 1 civil action #
998,Grey,Breakthrough,2020-05-02 18:39:36,II,11,7474996,Grey takes Breakthrough in hand#Grey uses 2 civil action #
999,Grey,Frugality,2020-05-02 18:36:58,II,11,7474996,Grey takes Frugality in hand#Grey uses 3 civil action #
1000,Grey,Reserves,2020-05-02 18:36:53,II,11,7474996,Grey takes Reserves in hand#Grey uses 2 civil action #
1001,Grey,Coal,2020-05-02 18:36:47,II,11,7474996,Grey takes Coal in hand#Grey uses 1 civil action #
1002,Green,Urban Growth,2020-05-02 16:01:39,II,11,7474996,Green takes Urban Growth in hand#Green uses 1 civil action #
1003,Green,Opera,2020-05-02 16:01:29,II,11,7474996,Green takes Opera in hand#Green uses 1 civil action #
1004,Green,Cavalrymen,2020-05-02 15:58:59,II,11,7474996,Green takes Cavalrymen in hand#Green uses 2 civil action #
1005,Purple,Scientific Method,2020-05-02 11:26:41,II,11,7474996,Purple takes Scientific Method in hand#Purple uses 3 civil action #
1006,Orange,Riflemen,2020-05-02 10:12:52,II,11,7474996,Orange takes Riflemen in hand#Orange uses 1 civil action #
1007,Grey,Cavalrymen,2020-05-02 01:28:05,II,10,7474996,Grey takes Cavalrymen in hand#Grey uses 1 civil action #
1008,Grey,Architecture,2020-05-02 01:25:41,II,10,7474996,Grey takes Architecture in hand#Grey uses 2 civil action #
1009,Grey,Strategy,2020-05-02 01:25:38,II,10,7474996,Grey takes Strategy in hand#Grey uses 2 civil action #
1010,Green,Breakthrough,2020-05-02 00:47:25,II,10,7474996,Green takes Breakthrough in hand#Green uses 1 civil action #
1011,Green,Engineering Genius,2020-05-02 00:47:20,II,10,7474996,Green takes Engineering Genius in hand#Green uses 1 civil action #
1012,Green,Constitutional Monarchy,2020-05-02 00:46:36,II,10,7474996,Green takes Constitutional Monarchy in hand#Green uses 3 civil action #
1013,Purple,Selective Breeding,2020-05-02 00:43:10,II,10,7474996,Purple takes Selective Breeding in hand#Purple uses 1 civil action #
1014,Purple,Napoleon Bonaparte,2020-05-02 00:43:01,II,10,7474996,Purple takes Napoleon Bonaparte in hand#Purple uses 1 civil action #
1015,Orange,Selective Breeding,2020-05-01 23:31:27,II,10,7474996,Orange takes Selective Breeding in hand#Orange uses 2 civil action #
1016,Grey,Johannes Sebastian Bach,2020-05-01 23:05:06,II,9,7474996,Grey takes Johannes Sebastian Bach in hand#Grey uses 1 civil action #
1017,Grey,Eiffel Tower,2020-05-01 23:04:27,II,9,7474996,Grey takes Eiffel Tower in hand#Grey uses 2 civil action #
1018,Grey,Republic,2020-05-01 23:04:24,II,9,7474996,Grey takes Republic in hand#Grey uses 1 civil action #
1019,Green,Efficient Upgrade,2020-05-01 17:23:07,II,9,7474996,Green takes Efficient Upgrade in hand#Green uses 1 civil action #
1020,Green,Isaac Newton,2020-05-01 17:22:41,II,9,7474996,Green takes Isaac Newton in hand#Green uses 2 civil action #
1021,Purple,Navigation,2020-05-01 17:00:55,II,9,7474996,Purple takes Navigation in hand#Purple uses 1 civil action #
1022,Purple,Architecture,2020-05-01 17:00:52,II,9,7474996,Purple takes Architecture in hand#Purple uses 1 civil action #
1023,Orange,Revolutionary Idea,2020-05-01 16:29:39,II,9,7474996,Orange takes Revolutionary Idea in hand#Orange uses 1 civil action #
1024,Orange,Reserves,2020-05-01 16:29:28,II,9,7474996,Orange takes Reserves in hand#Orange uses 2 civil action #
1025,Grey,Patriotism,2020-05-01 14:40:52,II,8,7474996,Grey takes Patriotism in hand#Grey uses 1 civil action #
1026,Grey,Opera,2020-05-01 14:38:24,II,8,7474996,Grey takes Opera in hand#Grey uses 1 civil action #
1027,Purple,Transcontinental Railroad,2020-05-01 13:42:47,II,8,7474996,Purple takes Transcontinental Railroad in hand#Purple uses 3 civil action #
1028,Orange,Great Wall,2020-05-01 13:33:35,II,8,7474996,Orange takes Great Wall in hand#Orange uses 1 civil action #
1029,Orange,Theology,2020-05-01 13:31:48,II,8,7474996,Orange takes Theology in hand#Orange uses 1 civil action #
1030,Grey,Breakthrough,2020-05-01 13:13:18,II,7,7474996,Grey takes Breakthrough in hand#Grey uses 2 civil action #
1031,Grey,Frugality,2020-05-01 13:13:09,II,7,7474996,Grey takes Frugality in hand#Grey uses 1 civil action #
1032,Grey,Theology,2020-05-01 13:12:09,II,7,7474996,Grey takes Theology in hand#Grey uses 1 civil action #
1033,Green,Reserves,2020-05-01 12:36:53,II,7,7474996,Green takes Reserves in hand#Green uses 1 civil action #
1034,Purple,Irrigation,2020-05-01 11:12:43,I,7,7474996,Purple takes Irrigation in hand#Purple uses 2 civil action #
1035,Orange,Michelangelo,2020-05-01 10:42:07,I,7,7474996,Orange takes Michelangelo in hand#Orange uses 1 civil action #
1036,Grey,Code of Laws,2020-04-30 18:27:38,I,6,7474996,Grey takes Code of Laws in hand#Grey uses 1 civil action #
1037,Green,Urban Growth,2020-04-30 17:20:37,I,6,7474996,Green takes Urban Growth in hand#Green uses 1 civil action #
1038,Green,Urban Growth,2020-04-30 17:20:31,I,6,7474996,Green takes Urban Growth in hand#Green uses 1 civil action #
1039,Green,Irrigation,2020-04-30 17:20:26,I,6,7474996,Green takes Irrigation in hand#Green uses 1 civil action #
1040,Green,Swordsmen,2020-04-30 17:20:17,I,6,7474996,Green takes Swordsmen in hand#Green uses 1 civil action #
1041,Purple,Rich Land,2020-04-30 17:12:19,I,6,7474996,Purple takes Rich Land in hand#Purple uses 1 civil action #
1042,Purple,Knights,2020-04-30 17:12:03,I,6,7474996,Purple takes Knights in hand#Purple uses 1 civil action #
1043,Orange,Masonry,2020-04-30 16:53:44,I,6,7474996,Orange takes Masonry in hand#Orange uses 1 civil action #
1044,Orange,Masonry,2020-04-30 16:22:11,I,6,7474996,Orange takes Masonry in hand#Orange uses 1 civil action #
1045,Grey,Printing Press,2020-04-30 15:13:28,I,5,7474996,Grey takes Printing Press in hand#Grey uses 2 civil action #
1046,Green,St. Peter's Basilica,2020-04-30 15:06:09,I,5,7474996,Green takes St. Peter's Basilica in hand#Green uses 2 civil action #
1047,Green,Printing Press,2020-04-30 15:05:52,I,5,7474996,Green takes Printing Press in hand#Green uses 1 civil action #
1048,Green,Masonry,2020-04-30 15:05:37,I,5,7474996,Green takes Masonry in hand#Green uses 2 civil action #
1049,Green,Printing Press,2020-04-30 15:05:09,I,5,7474996,Green takes Printing Press in hand#Green uses 1 civil action #
1050,Purple,Cultural Heritage,2020-04-30 15:01:16,I,5,7474996,Purple takes Cultural Heritage in hand#Purple uses 1 civil action #
1051,Orange,Knights,2020-04-30 14:36:51,I,5,7474996,Orange takes Knights in hand#Orange uses 2 civil action #
1052,Green,Iron,2020-04-30 14:08:30,I,4,7474996,Green takes Iron in hand#Green uses 1 civil action #
1053,Purple,Genghis Khan,2020-04-30 13:55:45,I,4,7474996,Purple takes Genghis Khan in hand#Purple uses 1 civil action #
1054,Purple,Code of Laws,2020-04-30 13:55:09,I,4,7474996,Purple takes Code of Laws in hand#Purple uses 1 civil action #
1055,Purple,Iron,2020-04-30 13:54:35,I,4,7474996,Purple takes Iron in hand#Purple uses 1 civil action #
1056,Orange,Iron,2020-04-30 13:34:30,I,4,7474996,Orange takes Iron in hand#Orange uses 1 civil action #
1057,Grey,Swordsmen,2020-04-30 12:42:50,I,3,7474996,Grey takes Swordsmen in hand#Grey uses 1 military action #
1058,Grey,Iron,2020-04-30 12:42:10,I,3,7474996,Grey takes Iron in hand#Grey uses 1 military action #
1059,Grey,Swordsmen,2020-04-30 12:38:53,I,3,7474996,Grey takes Swordsmen in hand#Grey uses 1 military action #
1060,Grey,Leonardo Da Vinci,2020-04-30 12:38:35,I,3,7474996,Grey takes Leonardo Da Vinci in hand#Grey uses 1 civil action #
1061,Grey,Alchemy,2020-04-30 12:35:24,I,3,7474996,Grey takes Alchemy in hand#Grey uses 1 military action #
1062,Grey,Alchemy,2020-04-30 12:34:41,I,3,7474996,Grey takes Alchemy in hand#Grey uses 1 military action #
1063,Grey,Swordsmen,2020-04-30 12:30:50,I,3,7474996,Grey takes Swordsmen in hand#Grey uses 1 civil action #
1064,Grey,Genghis Khan,2020-04-30 12:30:46,I,3,7474996,Grey takes Genghis Khan in hand#Grey uses 1 civil action #
1065,Green,Alchemy,2020-04-30 03:03:34,I,3,7474996,Green takes Alchemy in hand#Green uses 1 civil action #
1066,Green,Engineering Genius,2020-04-30 03:03:17,I,3,7474996,Green takes Engineering Genius in hand#Green uses 1 civil action #
1067,Purple,Urban Growth,2020-04-30 01:27:05,I,3,7474996,Purple takes Urban Growth in hand#Purple uses 1 civil action #
1068,Purple,Bread & Circuses,2020-04-30 01:27:00,I,3,7474996,Purple takes Bread & Circuses in hand#Purple uses 1 civil action #
1069,Orange,Breakthrough,2020-04-29 20:15:30,I,3,7474996,Orange takes Breakthrough in hand#Orange uses 1 civil action #
1070,Orange,Alchemy,2020-04-29 20:15:11,I,3,7474996,Orange takes Alchemy in hand#Orange uses 2 civil action #
1071,Grey,Library of Alexandria,2020-04-29 20:02:52,I,2,7474996,Grey takes Library of Alexandria in hand#Grey uses 1 civil action #
1072,Grey,Hammurabi,2020-04-29 20:02:43,I,2,7474996,Grey takes Hammurabi in hand#Grey uses 1 civil action #
1073,Green,Pyramids,2020-04-29 19:35:59,I,2,7474996,Green takes Pyramids in hand#Green uses 2 civil action #
1074,Purple,Moses,2020-04-29 19:09:37,I,2,7474996,Purple takes Moses in hand#Purple uses 1 civil action #
